State,Avg_Temp,Percent_Sun
Alabama,8.1,46
Alaska,-16.3,34
Arizona,6.4,80
Arkansas,5.3,52
California,7.9,72
Colorado,-3.4,62
Connecticut,-1.9,52
Delaware,2.3,48
Florida,15.2,64
Georgia,8.8,58
Hawaii,19.7,65
Idaho,-3.7,43
Illinois,-2.1,46
Indiana,-1.4,42
Iowa,-5.7,50
Kansas,-0.1,59
Kentucky,2.2,43
Louisiana,10.5,48
Maine,-8.4,56
Maryland,1.5,52
Massachusetts,-2.6,54
Michigan,-5.7,36
Minnesota,-10.9,51
Mississippi,8.2,51
Missouri,0.2,50
Montana,-6,48
Nebraska,-3.5,56
Nevada,0.1,66
New Hampshire,-6.1,51
New Jersey,0.6,50
New Mexico,2.3,72
New York,-4.8,32
North Carolina,5.6,53
North Dakota,-11,51
Ohio,-1.4,36
Oklahoma,3.9,59
Oregon,1.1,30
Pennsylvania,-2,49
Rhode Island,-0.3,55
South Carolina,7.8,58
South Dakota,-6.9,55
Tennessee,3.9,43
Texas,8.8,53
Utah,-2.1,47
Vermont,-7,41
Virginia,2.7,55
Washington,0.6,30
West Virginia,0.4,46
Wisconsin,-8.2,46
Wyoming,-6,65
